club_name,player_name,age,position,club_involved_name,Status Transfer,Fees,transfer_movement
Al-Raed SFC,Damjan Djokovic,33,CM,FCSB,free transfer,0,out
Al-Tai FC,Dener,31,AM,Without Club,free transfer,0,out
Al-Riyadh SC,Didier Ndong,29,CM,Dijon,free transfer,0,in
Al-Riyadh SC,Diego Miranda,31,RW,Al-Arabi SC,free transfer,0,out
Al-Riyadh SC,Dino Arslanagic,30,CB,Hatta Club,free transfer,0,in
Khaleej FC,Douglas Friedrich,34,GK,Avaí FC,free transfer,0,out
Al-Ahli SFC,Edouard Mendy,31,GK,Chelsea,buying,18500000,in
Damac FC,El Arbi Hillel Soudani,35,RW,NK Maribor,free transfer,0,out
Al-Riyadh SC,Emanuel Novo,30,GK,Al-Taraji,free transfer,0,out
Al-Tai FC,Enzo Roco,30,CB,Elche CF,free transfer,0,in
Al-Ahli SFC,Ezgjan Alioski,31,LB,Fenerbahce,free transfer,0,in
Abha Club,Fabia¡N Noguera,30,CB,Nacional,free transfer,0,in
Ittihad Club,Fabinho,29,DM,Liverpool,buying,46700000,in
Al-Ettifaq FC,Fahad Al-Dossari,21,LW,Al-Kholood,free transfer,0,in
Al-Fateh SC,Fahad Al-Harbi,26,CB,Al-Adalah,free transfer,0,in
Damac FC,Fahad Al-Johani,31,CF,Al-Tai,free transfer,0,in
Al-Ahli SFC,Fahad Al-Rashidi,26,RW,Al-Taawoun,free transfer,0,in
Al-Fayha FC,Faisal Al-Masrahi,30,GK,Without Club,free transfer,0,out
Al-Hazem SC,Faïz Selemani,29,LW,KV Kortrijk,buying,1500000,in
Al-Fayha FC,Fashion Sakala,26,CF,Rangers,buying,4650000,in
Khaleej FC,Fawaz Al-Torais,26,LW,Al-Hilal,free transfer,0,in
Al-Taawoun FC,Flavio,27,CM,Trabzonspor,loan transfer,182000,in
Al-Okhdood Club,Florin Tanase,28,AM,Al-Jazira,free transfer,0,in
Abha Club,Frana§Ois Kamano,27,LW,Loko Moscow,free transfer,0,in
Al-Hazem SC,Francis Cann,25,LW,Vizela,End of loan,0,out
Al-Ahli SFC,Franck Kessia,26,CM,Barcelona,buying,12500000,in
Damac FC,Georges-Kevin N'Koudou,28,LW,Besiktas,free transfer,0,in
Al-Wehda FC,Gerson Rodrigues,28,LW,Dynamo Kyiv,End of loan,0,out
Al-Fayha FC,Gojko Cimirot,30,DM,Standard Liège,free transfer,0,in
Abha Club,Grzegorz Krychowiak,33,DM,Krasnodar,free transfer,0,in
Al-Shabab FC,Gustavo Cuallar,30,DM,Al-Hilal,buying,1380000,in
Al-Tai FC,Guy Mbenza,23,CF,Muaither SC,End of loan,0,out
Al-Shabab FC,Habib Diallo,28,CF,R. Strasbourg,buying,18000000,in
Ittihad Club,Halder Costa,29,RW,Leeds,End of loan,0,out
Khaleej FC,Hamad Al-Abdan,23,AM,Al-Hilal,free transfer,0,in
Al-Raed SFC,Hamad Al-Jayzani,30,LB,Al-Wehda,free transfer,0,in
Al-Okhdood Club,Hamad Al-Mansour,30,RB,Al-Nassr,loan transfer,0,in
Al-Ettifaq FC,Hamdan Al-Shammrani,26,LB,Ittihad Club,loan transfer,0,in
Damac FC,Hassan Abusharara,26,CF,Al-Qadsiah FC,free transfer,0,in
Al-Tai FC,Hassan Al-Jubairi,32,RB,Al-Batin,End of loan,0,out
Ittihad Club,Hazim Al-Zahrani,24,LB,Ohod Club,free transfer,0,in
Al-Fayha FC,Hazza Asseri,28,DM,Jeddah FC,free transfer,0,in
Al-Fayha FC,Henry Onyekuru,26,LW,Adana Demirspor,buying,3200000,in
Al-Ahli SFC,Hicham Faik,31,DM,Al-Bukiryah FC,free transfer,0,out
Al-Riyadh SC,Hussain Al-Nuweqi,27,RB,Khaleej,free transfer,0,in
Al-Okhdood Club,Hussein Al-Msobei,27,CB,Al-Adalah,free transfer,0,out
Al-Okhdood Club,Hussein Shae'an,34,GK,Al-Shabab,free transfer,0,in
Al-Riyadh SC,Ibrahim Al-Hafith,33,GK,Al-Rawdah SC,free transfer,0,out
Al-Tai FC,Ibrahim Al-Nakhli,26,DM,Damac FC,free transfer,0,in
Al-Ettifaq FC,Ibrahim Mohannashi,23,DM,Al-Qadsiah FC,End of loan,0,out
Khaleej FC,Ibrahim Sehic,34,GK,Konyaspor,buying,700000,in
Khaleej FC,Ivo Rodrigues,28,RW,Famalicao,free transfer,0,in
Al-Ettifaq FC,Jack Hendry,28,CB,Club Brugge,buying,5000000,in
Al-Fateh SC,Jason Denayer,28,CB,Shabab Al-Ahli,free transfer,0,in
Al-Wehda FC,Jawad El Yamiq,31,CB,Real Valladolid,buying,1200000,in
Al-Nassr FC,Jin-Su Kim,31,LB,Jeonbuk Hyundai,free transfer,0,in
Al-Fateh SC,Jordan Harrison,20,DM,Watford U21,free transfer,0,in
Al-Ettifaq FC,Jordan Henderson,33,CM,Liverpool,buying,14000000,in
Ittihad Club,Jota,24,LW,Celtic,buying,29100000,in
Al-Okhdood Club,Juan Sebastia¡N Pedroza,24,DM,Indep. Santa Fe,loan transfer,0,in
Al-Okhdood Club,Kaka¡ Mendes,30,AM,Al-Safa,free transfer,0,out
Al-Hilal SFC,Kalidou Koulibaly,32,CB,Chelsea,buying,23000000,in
Ittihad Club,Karim Benzema,35,CF,Real Madrid,free transfer,0,in
Al-Wehda FC,Karim Yoda,34,RW,Al-Adalah,End of loan,0,out
Al-Hazem SC,Khaled Al-Barakah,32,LB,Al-Najma SC,End of loan,0,out
Al-Raed SFC,Khaled Al-Khathalan,28,LB,Al-Batin,free transfer,0,out
Khaleej FC,Khaled Al-Sumairi,26,DM,Ittihad Club,free transfer,0,in
Al-Shabab FC,Khalid Al-Ghamdi,35,RB,Retired,End of loan,0,out
Al-Nassr FC,Khalid Al-Ghannam,22,LW,Al-Fateh,free transfer,0,in
Al-Hazem SC,Khalil Al-Absi,22,LW,Al-Nassr,loan transfer,0,in
Al-Riyadh SC,Knowledge Musona,33,AM,Al-Tai,free transfer,0,in
Khaleej FC,Lisandro López,33,CB,Club Tijuana,free transfer,0,in
Abha Club,Lua­S Miquissone,27,RW,El Ahly,End of loan,0,out
Khaleej FC,Lucas Souza,33,CM,Al-Faisaly FC,free transfer,0,out
Al-Fateh SC,Lucas Zelaraya¡N,31,AM,Columbus,buying,2750000,in
Al-Hilal SFC,Luciano Vietto,29,CF,Al-Qadsiah FC,free transfer,0,out
Al-Nassr FC,Luiz Gustavo,35,DM,Without Club,free transfer,0,out
Al-Okhdood Club,Maicon Douglas,30,DM,Al-Safa,free transfer,0,out
Al-Hazem SC,Majed Al-Ghamdi,25,GK,Ohod Club,free transfer,0,in
Al-Hilal SFC,Malcom,26,RW,Zenit S-Pb,buying,60000000,in
Al-Raed SFC,Mamadou Loum,26,DM,FC Porto,loan transfer,0,in
Al-Nassr FC,Mansour Al-Shammari,22,LB,Al-Ahli,free transfer,0,in
Khaleej FC,Mansour Hamzi,31,CF,Damac FC,free transfer,0,in
Al-Ahli SFC,Marcão,29,CF,WH Three Towns,free transfer,0,in
Al-Nassr FC,Marcelo Brozovic,30,DM,Inter,buying,18000000,in
Al-Riyadh SC,Marcinho,28,RW,Chapecoense,free transfer,0,out
Al-Riyadh SC,Martin Campana,34,GK,Al-Batin,free transfer,0,in
Al-Riyadh SC,Masoud Bakheet,31,RB,Al-Jabalain,free transfer,0,out
Al-Taawoun FC,Mateus,28,RW,Nagoya Grampus,free transfer,0,in
Al-Hilal SFC,Matheus Pereira,27,AM,Al-Wahda FC,free transfer,0,in
Abha Club,Meshal Al-Mutairi,24,DM,Abha,free transfer,0,in
Al-Hilal SFC,Milinkovic-Savic,28,CM,Lazio,buying,40000000,in
Al-Riyadh SC,Miodrag Gemovic,28,RW,Al-Jabalain,End of loan,0,out
Al-Hazem SC,Mohamed Al-Thani,26,RW,Ohod Club,free transfer,0,in
Khaleej FC,Mohamed Sherif,27,CF,El Ahly,buying,1370000,in
Ittihad Club,Mohammed Abu Aseda,23,GK,Wej SC,free transfer,0,in
Al-Taawoun FC,Mohammed Al-Dhulayfi,23,GK,Najran SC,free transfer,0,in
Abha Club,Mohammed Al-Oufi,20,LB,Ittihad Club,free transfer,0,in
Khaleej FC,Mohammed Al-Sahli,32,RW,Al-Batin,End of loan,0,out
Ittihad Club,Mohammed Al-Saiari,30,CF,Al-Qadsiah FC,buying,750000,out
Al-Tai FC,Mohammed Harzan,34,RW,Ohod Club,End of loan,0,out
Al-Tai FC,Mohammed Marzouq,21,DM,Wej SC,free transfer,0,in
Abha Club,Mohammed Naji,29,CB,Al-Batin,free transfer,0,in
Al-Okhdood Club,Mohammed Reman,26,LB,Al-Najma SC,free transfer,0,out
Ittihad Club,Mohammed Sawaan,22,AM,Al-Kholood,free transfer,0,in
Damac FC,Mohanad Al-Najai,29,DM,Al-Jabalain,free transfer,0,out
Khaleej FC,Morato,30,RW,Al-Faisaly FC,End of loan,0,out
Al-Fayha FC,Moslem Al-Freej,35,GK,Al-Safa,free transfer,0,out
Al-Taawoun FC,Mostafa Fathi,29,RW,Pyramids FC,buying,903000,out
Al-Ettifaq FC,Moussa Dembala,27,CF,Olympique Lyon,free transfer,0,in
Al-Taawoun FC,Muath Faquihi,21,LB,Al-Hilal,loan transfer,0,in
Al-Wehda FC,Mubarak Al-Sagoor,29,RW,Al-Okhdood,free transfer,0,in
Al-Nassr FC,Mukhtar Ali,25,DM,Al-Tai,free transfer,0,in
Al-Riyadh SC,Muralha,30,AM,Al-Arabi SC,free transfer,0,out
Al-Wehda FC,Naif Kireiri,25,RB,Al-Ahli,free transfer,0,in
Al-Ettifaq FC,Naïm Sliti,30,LW,Al-Ahli SC,free transfer,0,out
Al-Taawoun FC,Naldo,34,CB,Without Club,free transfer,0,out
Al-Hazem SC,Naoufel Zerhouni,27,RW,Raja Casablanca,free transfer,0,in
Al-Raed SFC,Nasser Al-Hadhood,21,CM,Al-Hilal U23,free transfer,0,in
Al-Shabab FC,Nawaf Al-Abed,33,AM,Without Club,free transfer,0,out
Al-Hazem SC,Nawaf Al-Habashi,25,AM,Al-Riyadh,free transfer,0,in
Al-Fayha FC,Nawaf Al-Harthi,24,CM,Al-Ain FC,free transfer,0,in
Al-Wehda FC,Nawaf Al-Hawsawi,22,CM,Najran SC,free transfer,0,in
Al-Hilal SFC,Neymar,31,LW,Paris SG,buying,90000000,in
Ittihad Club,N'Golo Kanta,32,DM,Chelsea,free transfer,0,in
Al-Ahli SFC,Nicolás Milesi,30,CM,Plaza Colonia,free transfer,0,out
Al-Riyadh SC,Nikola Stojiljkovic,30,CF,Dibba Fujairah,End of loan,0,out
Damac FC,Nono,30,CM,Without Club,free transfer,0,out
Damac FC,Noor Al-Rashidi,28,CB,Al-Wehda,free transfer,0,in
Al-Wehda FC,Odion Ighalo,34,CF,Al-Hilal,free transfer,0,in
Al-Hazem SC,Ola John,31,LW,Al-Arabi SC,free transfer,0,out
Al-Ahli SFC,Omar Al-Somah,34,CF,Al-Arabi SC,free transfer,0,in
Al-Okhdood Club,Pato,31,CF,Al-Najma SC,End of loan,0,out
Al-Shabab FC,Paulinho Paula,26,CM,Al-Fayha,free transfer,0,in
Al-Okhdood Club,Paulo Va­Tor,34,GK,Chaves,free transfer,0,in
Khaleej FC,Pedro Rebocho,28,LB,Lech Poznan,free transfer,0,in
Al-Nassr FC,Raed Ozaybi,21,GK,Al-Faisaly FC,free transfer,0,in
Al-Tai FC,Rakan Al-Shamlan,25,RW,Al-Batin,free transfer,0,in
Damac FC,Ramzi Solan,25,CF,Najran SC,free transfer,0,in
Al-Ettifaq FC,Rayan Al-Bloushi,22,CF,Al-Safa,loan transfer,0,out
Al-Okhdood Club,Reinaldo,34,CB,Al-Safa,End of loan,0,out
Al-Ahli SFC,Riyad Mahrez,32,RW,Man City,buying,35000000,in
Al-Tai FC,Robert Bauer,28,CB,Sint-Truiden,free transfer,0,in
Al-Ahli SFC,Roberto Firmino,31,CF,Liverpool,free transfer,0,in
Al-Ahli SFC,Roger Ibanez,24,CB,AS Roma,buying,30000000,in
